Category name	SDDb baselines (male and female)	SD
Word count	102.94	81.007
Analytic	54.3378	27.19917
Clout	40.365	27.61462
Authentic	77.8351	26.5128
Tone	33.1244	29.44843
Words/sentence	16.4711	8.50862
Sixltr	13.4864	4.89075
Dictionarywords	91.6555	4.94225
Totalfunctionwords	59.5413	5.24408
Totalpronouns	18.314	5.08165
Personalpronouns	13.4426	4.65345
Firstpersonsingular	9.5593	4.14596
Firstpersonplural	1.1031	1.87754
Secondperson	0.076	0.40702
Thirdpersonsingular	1.9516	2.67231
Thirdpersonplural	0.7524	1.40457
Impersonalpronouns	4.837	2.86052
Articles	7.9989	3.48247
Prepositions	13.9941	3.69005
Auxiliaryverbs	8.9853	3.36193
Adverbs	4.6801	2.7735
Conjunctions	7.0619	2.79691
Negations	1.412	1.50236
"Othergrammar
Commonverbs"	18.6432	4.40781
Commonadjectives	3.7224	2.50551
Comparisons	1.5796	1.69407
Interrogatives	1.3173	1.38469
Number	1.1341	1.54106
Quantifiers	1.834	1.76821
Affectiveprocesses	3.37	2.68821
Positiveemotion	1.6111	1.95038
Negativeemotion	1.7014	2.02873
Anxiety	0.4864	0.99193
Anger	0.4189	0.98213
Sadness	0.3389	0.82323
Socialprocesses	9.3041	5.95677
Family	0.9864	1.80701
Friends	0.6682	1.21508
Femalereferences	1.4813	2.5595
Malereferences	1.9276	2.78016
Cognitiveprocesses	9.5213	4.91648
Insight	2.4128	2.09105
Causation	0.9424	1.23596
Discrepancy	1.0025	1.3571
Tentative	2.2484	2.18719
Certainty	0.9969	1.32591
Differentiation	2.7756	2.33328
Perceptualprocesses	3.0405	2.6037
See	1.5727	1.89739
Hear	0.6431	1.21522
Feel	0.7302	1.25593
Biologicalprocesses	1.8693	2.28373
Body	0.817	1.4386
Health	0.4433	1.00779
Sexual	0.0879	0.47763
Ingestion	0.541	1.41981
Drives	7.1729	4.17164
Affiliation	2.7716	3.08935
Achievement	1.0126	1.53916
Power	2.3097	2.04188
Reward	1.0559	1.36832
"Risk
Timeorientations"	0.3921	0.90354
Pastfocus	9.6142	5.44606
Presentfocus	6.2962	5.35062
Futurefocus	0.9898	1.23874
Relativity	16.9181	5.99025
Motion	3.2093	2.52653
Space	9.2833	4.27585
Time	4.753	3.1529
"Personalconcerns
Work"	1.4834	2.53812
Leisure	2.3218	2.41441
Home	1.2904	1.90748
Money	0.4061	1.16244
Religion	0.1535	0.74282
Death	0.2579	0.85754
Informallanguage	0.2162	0.6557
Swearwords	0.0272	0.22246
Netspeak	0.0394	0.32552
Assent	0.0401	0.25292
Nonfluencies	0.0691	0.31759
Fillers	0.0148	0.14106
Allpunctuation	12.5303	4.76809
Periods	6.9793	2.75802
Commas	3.0607	2.46311
Colons	0.031	0.22702
Semicolons	0.052	0.3171
Questionmarks	0.0421	0.271
Exclamationmarks	0.0587	0.36176
Dashes	0.3489	1.05076
Quotationmarks	0.2822	1.02048
Apostrophes	1.0127	1.42241
Parentheses	0.5077	1.29734
Otherpunctuation	0.1549	0.74563
