Linguistic processes	Maximum	Minimum	Mean	SD
Word count	46.00	646.00	216.26	116.31
1st person singular pronouns	8.84	8.89	8.84	3.23
3rd person singular pronouns	1.26	.34	1.26	1.86
Past tense	8.88	9.74	8.88	3.81
Present tense	5.78	5.38	5.78	3.29
Adverbs	7.06	6.81	7.06	2.70
Quantifiers	2.29	1.96	2.29	1.62
Positive emotions	1.90	1.77	1.90	1.20
Negative emotions	1.32	.86	1.32	1.28
Insight	2.44	2.39	2.44	1.36
Causation	1.06	1.00	1.06	.90
Tentativeness	2.61	2.07	2.61	1.97
Certainty	1.11	.92	1.11	1.07
Inclusion	9.17	8.30	9.17	3.83
Exclusion	3.24	3.14	3.24	1.78
Sight	1.03	.56	1.03	1.38
Motion	2.56	2.67	2.56	1.62
Space	7.67	7.84	7.67	2.85
