	Narratives of Dream Memories			
	Low		High	
Linguistic variables	Mean	SD	Mean	SD
ppron	11.61	1.74	10.96	1.7
i	9.79	2.09	8.95	1.96
we	1.94	2.71	2.25	2.52
verb	12.17	1.63	11.07	1.52
auxverb	9.73	1.83	9.26	1.52
present	9.04	2.09	8.71	1.93
future	0.51	1.34	0.3	0.88
adverb	6.25	1.94	6.07	1.93
article	7.83	2.09	8.8	1.71
negate	3.62	2.77	3.25	1.9
prep	11.47	1.77	11.78	1.44
affect	6.52	2.4	5.79	2.29
posemo	4.58	2.6	3.98	2.49
negemo	3.74	2.52	3.39	2.2
cogproc	12.86	1.89	12.72	1.83
cause	2.64	2.17	2.61	1.95
certain	3.19	2.41	3.14	2.04
discrep	1.62	1.93	1.5	1.76
excl	3.94	2.49	3.97	2.05
incl	7.95	2.31	8.58	1.92
inhib	1.23	1.76	1.44	1.81
insight	4.66	2.45	4.19	2.26
tentat	4.07	2.44	3.7	2.33
percept	4.17	2.5	4.3	2.36
see	2.22	2.33	2.63	2.21
hear	1.25	1.8	1.34	1.81
feel	1.63	2.04	1.7	1.88
leisure	4.54	2.5	4.29	2.13
home	1.41	2.08	2.96	2.7
money	0.76	1.68	0.81	1.64
body	2.24	2.3	2.41	2.18
health	0.62	1.37	0.7	1.42
ingest	0.9	1.83	1.31	2.01
death	0.53	1.36	0.47	1.21
relativ	12.09	2.22	12.99	1.94
motion	4.39	2.21	5.19	2.13
space	8.31	2.15	9.35	1.79
