	2007 norms		Study 1 Time 1		Study 1 Time 2		Amazon Mechanical Turk		TOWER		Ave. recent dream	
Group	M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
WC	13580	12203	147.53	100.11	141.23	89.5	117.83	56.38	59.42	51.06	109.26	69.18
WPS	24.79	67.42	19.02	8.32	18.95	9.77	18.18	11.71	19.95	16.66	19.05	12.23
Dic	82.42	4.92	91	4.41	91.66	4.45	92.07	4.79	91.71	10.4	91.59	6.53
Sixltr	16.1	3.71	13.55	4.17	13.21	4.19	13.34	4.05	14.39	7.73	13.76	3.93
funct	54.85	4.99	61.2	4.6	61.54	4.47	62.07	4.36	62.21	9.28	61.83	6.08
pronoun	15.03	3.3	18.38	4.39	18.76	4.33	18.98	5.16	20.1	7.36	19.15	5.64
ppron	10.07	2.87	14.26	3.94	14.4	3.99	14.4	4.8	15.3	6.46	14.65	5.07
i	5.72	2.48	10.15	3.81	10.8	3.6	10.49	4.2	12.22	6.24	10.95	4.75
we	0.76	0.83	1.51	2.01	1.14	1.82	1.15	1.77	0.99	1.88	1.22	1.89
you	1.18	0.93	0.1	0.4	0.07	0.29	0.1	0.45	0.04	0.28	0.09	0.38
shehe	1.77	1.33	1.87	2.37	1.77	2.34	1.84	2.55	1.54	2.57	1.75	2.5
they	0.65	0.57	0.64	1.12	0.62	1.23	0.83	1.48	0.51	1.14	0.66	1.25
ipron	4.96	1.56	4.12	2.26	4.36	2.51	4.58	2.51	4.81	4.28	4.5	3.02
article	6.3	1.95	7.29	2.88	7.18	2.96	7.46	3.24	6.48	4.77	7.08	3.63
verb	13.93	2.73	13.65	3.38	13.69	3.41	15.11	3.47	14.87	6.15	14.54	4.33
auxverb	8.49	2.11	7.47	2.83	7.98	2.93	9.3	3	9.62	6.3	8.8	4.04
past	4.31	2.25	8.88	4.15	8.09	4.51	10.44	3.8	9.43	5.39	9.58	4.45
present	7.64	2.73	3.85	3.4	4.39	3.81	3.37	2.93	4.4	6.43	3.87	4.25
future	1.04	0.8	0.28	0.58	0.42	0.86	0.31	0.66	0.26	0.89	0.28	0.71
adverb	4.59	1.44	4.59	2.4	4.66	2.31	4.35	2.38	4.19	3.7	4.38	2.83
preps	12.89	2.08	14.25	3.27	13.9	3.29	14.12	3.28	13.12	5.74	13.83	4.1
conj	6.35	1.64	7.86	2.47	7.82	2.61	7.11	2.52	6.95	4.06	7.31	3.02
negate	1.65	0.95	1.18	1.16	1.17	1.16	1.6	1.39	2.71	6.94	1.83	3.16
quant	2.47	0.94	2.23	1.67	2.15	1.52	2.27	1.69	2.64	5.2	2.38	2.85
number	2.7	1.6	1.09	1.28	1.16	1.28	0.9	1.22	0.74	2.05	0.97	1.11
swear	0.15	0.29	0.01	0.1	0.01	0.1	0.04	0.25	0.01	0.18	0.02	0.18
social	8.32	2.93	9.49	5.27	8.3	5.22	8.61	5.23	8.64	6.82	8.91	5.77
family	0.41	0.53	0.73	1.47	1.31	1.79	0.97	1.66	0.89	2.29	0.86	1.81
friend	0.26	0.32	1.04	1.32	0.48	1.79	0.6	1.02	1.32	2.64	0.99	1.66
humans	0.69	0.62	0.87	1.23	0.73	1.06	0.77	1.05	1.09	2.32	0.91	1.53
affect	4.41	1.59	4.06	2.61	3.88	2.5	3.36	2.43	4.41	4.68	3.94	3.24
posemo	2.74	1.27	2.36	2.17	2.11	2.09	1.78	1.85	2.66	3.98	2.27	2.67
negemo	1.63	0.91	1.71	1.55	1.77	1.67	1.56	1.64	1.73	2.82	1.67	2
anx	0.33	0.33	0.45	0.74	0.47	0.75	0.39	0.69	0.36	0.92	0.4	0.78
