LIWC	Cluster A (M)	Cluster A (SD)	Cluster B (M)	Cluster B (SD)	Cluster C (M)	Cluster C (SD)
I	4.956	3.718	4.901	3.622	4.72	3.8
We	0.216	0.62	0.448	1.08	0.5	1.11
You	0.008	0.08	0.008	0.09	0	0
Other	0.397	1.02	0.282	0.79	0.161	0.59
Negate	1.742	2.21	2.666	4.2	2.014	2.59
Discrep	1.474	2.27	1.443	2.12	1.098	1.85
Inhib	0.328	1.15	0.286	1.01	0.311	1.32
Tentat	1.758	2.19	1.659	2.56	1.49	2.6
Certain	0.808	1.39	0.735	1.38	0.548	1.06
Past	4.594	4.55	4.262	4.18	4.714	4.06
Present	7.087	4.43	9.231	6.57	7.584	5.38
Future	0.103	0.44	0.057	0.24	0.056	0.29
To be	0.599	1.16	0.688	1.3	0.678	1.31
To have	1.763	2.48	2.747	3.52	2.023	3.13
