Category	New-onset insomnia (M)	Pre-existing insomnia (M)	Good sleep (M)
negemo	13.8	11.14	6.33
affect	14.34	12.22	7.58
leisure	12.94	11.26	16.02
anxiety	3.87	2.61	1.21
death	1.02	0.6	0.46
achieve	1.12	0.91	1.23
sad	0.82	0.26	0.21
posemo	0.53	0.99	1.22
anger	0.67	0.44	0.35
family	0.69	0.44	0.24
ingest	0.01	0.06	0.02
religion	0.09	0	0.08
feel	0.48	0.37	0.13
see	8.45	8.21	9.12
power	1.25	0.99	0.73
percept	9.09	9.16	9.53
health	0.73	0.59	0.35
home	0.36	0.37	0.13
social	3.67	3.26	2.82
friend	0.31	0.12	0.24
hear	0.1	0.43	0.09
sex	0.06	0.04	0.03
affil	1.08	1.08	0.77
reward	0.59	0.52	0.6
drive	4.86	4.1	3.62
work	1.3	0.77	0.8
money	0.09	0.01	0.07
risk	1.1	0.8	0.65
bio	1.52	1.6	1.38
body	0.66	0.8	0.87
