Category	Dreams (Mean)	Dreams (SD)	Expressive Writing (M)	Expressive Writing (SD)
WC	208.85	116.61	408.94	248.23
WPS	30.34	40.49	18.42	14.89
Sixltr	11.66	3.41	13.62	4.12
Dic	91.87	4.06	91.93	5.03
function	60.04	4.32	58.27	6.26
pronoun	19.72	4.31	18.03	5.36
ppron	14.87	4.17	12.74	4.28
i	9.54	3.36	8.66	4.25
we	1.24	1.54	0.81	1.22
you	0.27	0.65	0.68	2.14
shehe	3.06	2.71	2.01	2.95
they	0.77	1.05	0.57	0.82
ipron	4.82	2.13	5.28	2.36
article	6.99	2.62	5.7	2.56
prep	13.99	2.67	14.27	2.82
auxverb	8.08	2.38	9.25	3.06
adverb	5.03	2	6.02	2.3
conj	8.52	2.62	7.46	2.06
negate	1.4	1	1.69	1.25
cogproc	9.29	3.48	12.52	5.11
social	11.18	5.07	8.69	5.46
affect	3.42	1.9	4.77	2.59
posemo	1.64	1.4	2.57	1.63
negemo	1.75	1.37	2.12	1.74
